Cidade Considerada;Região Administrativa;Ano Óbito;Mês Óbito;Mês Descrição;Sexo;Turno;Tipo Acidente;Tipo Veiculo;Faixa Etária;Idade;Hora Acidente;Tipo Vítima;Tipo Local do Acidente;Dia Semana;Tipo de Via;LAT_(geo);LONG_(geo);Rua / Rodovia;KM Arredondado;Outro Veículo Envolvido
SAO PAULO;Metropolitana de São Paulo;2015;1;JANEIRO;MASCULINO;TARDE;CHOQUE;MOTOCICLETA;25-29;28;;PASSAGEIRO;PUBLICO;SÁBADO;Vias Municipais;;;;;
SAO PAULO;Metropolitana de São Paulo;2015;1;JANEIRO;MASCULINO;NOITE;CHOQUE;AUTOMOVEL;45-49;46;;CONDUTOR;PUBLICO;SÁBADO;Vias Municipais;;;;;
SAO PAULO;Metropolitana de São Paulo;2015;1;JANEIRO;MASCULINO;MANHA;COLISAO;AUTOMOVEL;65-69;69;;CONDUTOR;PUBLICO;SÁBADO;Vias Municipais;;;;;
SAO PAULO;Metropolitana de São Paulo;2015;1;JANEIRO;MASCULINO;NAO DISPONIVEL;ATROPELAMENTO;PEDESTRE;50-54;51;;PEDESTRE;PUBLICO;QUINTA;Vias Municipais;;;;;
SAO PAULO;Metropolitana de São Paulo;2015;1;JANEIRO;FEMININO;MANHA;OUTROS;ONIBUS;65-69;68;;PASSAGEIRO;PUBLICO;QUARTA;Vias Municipais;;;;;
SAO PAULO;Metropolitana de São Paulo;2015;1;JANEIRO;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;80 ou mais;82;;PEDESTRE;PUBLICO;TERÇA;Vias Municipais;;;;;
SAO PAULO;Metropolitana de São Paulo;2015;1;JANEIRO;FEMININO;MADRUGADA;COLISAO;AUTOMOVEL;35-39;39;;CONDUTOR;PUBLICO;SÁBADO;Vias Municipais;;;;;
SAO PAULO;Metropolitana de São Paulo;2015;1;JANEIRO;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;65-69;67;;PEDESTRE;PUBLICO;SEGUNDA;Vias Municipais;;;;;
SAO PAULO;Metropolitana de São Paulo;2015;1;JANEIRO;MASCULINO;MADRUGADA;COLISAO;MOTOCICLETA;30-34;32;;CONDUTOR;PUBLICO;DOMINGO;Vias Municipais;;;;;
SAO PAULO;Metropolitana de São Paulo;2015;1;JANEIRO;MASCULINO;TARDE;ATROPELAMENTO;PEDESTRE;50-54;52;;PEDESTRE;PUBLICO;SEGUNDA;Vias Municipais;;;;;
SAO PAULO;Metropolitana de São Paulo;2015;1;JANEIRO;NAO DISPONIVEL;TARDE;ATROPELAMENTO;PEDESTRE;65-69;69;;PEDESTRE;PUBLICO;QUINTA;Vias Municipais;;;;;
SAO PAULO;Metropolitana de São Paulo;2015;1;JANEIRO;MASCULINO;NOITE;OUTROS;BICICLETA;30-34;34;;CONDUTOR;NAO DISPONIVEL;QUINTA;Vias Municipais;;;;;
SAO PAULO;Metropolitana de São Paulo;2015;1;JANEIRO;FEMININO;NOITE;ATROPELAMENTO;PEDESTRE;80 ou mais;84;;PEDESTRE;PUBLICO;QUINTA;Vias Municipais;;;;;
SAO PAULO;Metropolitana de São Paulo;2015;1;JANEIRO;MASCULINO;TARDE;NAO DISPONIVEL;NAO DISPONIVEL;45-49;46;;NAO DISPONIVEL;NAO DISPONIVEL;SEXTA;Vias Municipais;;;;;
SAO PAULO;Metropolitana de São Paulo;2015;1;JANEIRO;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;50-54;51;;PEDESTRE;PUBLICO;QUARTA;Vias Municipais;;;;;
SAO PAULO;Metropolitana de São Paulo;2015;1;JANEIRO;FEMININO;TARDE;CHOQUE;AUTOMOVEL;70-74;74;;CONDUTOR;PUBLICO;SÁBADO;Vias Municipais;;;;;
SAO PAULO;Metropolitana de São Paulo;2015;1;JANEIRO;MASCULINO;NOITE;OUTROS;MOTOCICLETA;18-24;21;;CONDUTOR;PUBLICO;SEGUNDA;Vias Municipais;;;;;
SAO PAULO;Metropolitana de São Paulo;2015;1;JANEIRO;MASCULINO;MADRUGADA;OUTROS;MOTOCICLETA;18-24;19;;CONDUTOR;PUBLICO;SEXTA;Vias Municipais;;;;;
SANTO ANDRE;Metropolitana de São Paulo;2015;1;JANEIRO;FEMININO;TARDE;ATROPELAMENTO;PEDESTRE;75-79;76;;PEDESTRE;PUBLICO;SEXTA;Vias Municipais;;;;;
SANTO ANDRE;Metropolitana de São Paulo;2015;1;JANEIRO;FEMININO;MADRUGADA;CHOQUE;AUTOMOVEL;35-39;36;;CONDUTOR;PUBLICO;DOMINGO;Vias Municipais;;;;;
SANTO ANDRE;Metropolitana de São Paulo;2015;1;JANEIRO;MASCULINO;MANHA;NAO DISPONIVEL;NAO DISPONIVEL;18-24;20;;NAO DISPONIVEL;NAO DISPONIVEL;DOMINGO;Vias Municipais;;;;;
SAO PAULO;Metropolitana de São Paulo;2015;1;JANEIRO;MASCULINO;NOITE;COLISAO;MOTOCICLETA;25-29;28;;CONDUTOR;PUBLICO;SEXTA;Vias Municipais;;;;;
SAO PAULO;Metropolitana de São Paulo;2015;1;JANEIRO;MASCULINO;TARDE;ATROPELAMENTO;PEDESTRE;65-69;67;;PEDESTRE;PUBLICO;SEGUNDA;Vias Municipais;;;;;
SAO PAULO;Metropolitana de São Paulo;2015;1;JANEIRO;MASCULINO;MANHA;ATROPELAMENTO;PEDESTRE;70-74;72;;PEDESTRE;PUBLICO;QUINTA;Vias Municipais;;;;;
SAO PAULO;Metropolitana de São Paulo;2015;1;JANEIRO;NAO DISPONIVEL;MADRUGADA;CHOQUE;AUTOMOVEL;NAO DISPONIVEL;NAO DISPONIVEL;;PASSAGEIRO;PUBLICO;SEGUNDA;Vias Municipais;;;;;
SAO PAULO;Metropolitana de São Paulo;2015;1;JANEIRO;FEMININO;TARDE;ATROPELAMENTO;PEDESTRE;NAO DISPONIVEL;NAO DISPONIVEL;;PEDESTRE;PUBLICO;QUARTA;Vias Municipais;;;;;
SAO PAULO;Metropolitana de São Paulo;2015;1;JANEIRO;FEMININO;NOITE;ATROPELAMENTO;PEDESTRE;0-17;8;;PEDESTRE;PUBLICO;DOMINGO;Vias Municipais;;;;;
SAO PAULO;Metropolitana de São Paulo;2015;1;JANEIRO;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;30-34;30;;PEDESTRE;PUBLICO;QUINTA;Vias Municipais;;;;;
SAO PAULO;Metropolitana de São Paulo;2015;1;JANEIRO;FEMININO;MADRUGADA;ATROPELAMENTO;PEDESTRE;40-44;42;;PEDESTRE;PUBLICO;QUARTA;Vias Municipais;;;;;
